date,Open,High,Low,Close,Volume,Close_Time,Quote_asset_volume,Number_of_trades,Taker_buy_base,Taker_buy_quote
2020-11-25 07:13:00,19215.67000000,19222.38000000,19187.63000000,19192.00000000,53.27406100,1606306439999,1023109.76185259,1217,19.49798300,374532.44167729
2020-11-25 07:14:00,19192.00000000,19195.10000000,19152.33000000,19163.88000000,94.62135100,1606306499999,1814487.29504843,2356,38.06263900,729830.46723614
2020-11-25 07:15:00,19163.88000000,19196.65000000,19161.11000000,19196.27000000,65.29351800,1606306559999,1252114.90212529,1833,41.74887100,800595.46675813
2020-11-25 07:16:00,19196.27000000,19196.65000000,19173.99000000,19181.40000000,56.05160200,1606306619999,1075379.78497565,1279,21.38330800,410197.49143875
2020-11-25 07:17:00,19181.40000000,19210.99000000,19181.39000000,19199.73000000,66.19713100,1606306679999,1270880.95396456,1378,47.05058500,903216.56948700
2020-11-25 07:18:00,19199.73000000,19225.83000000,19199.46000000,19206.49000000,75.41540500,1606306739999,1449223.55527897,969,36.27938100,697078.30755787
2020-11-25 07:19:00,19206.49000000,19222.61000000,19206.32000000,19219.58000000,48.95044800,1606306799999,940536.43295548,1090,35.35908600,679382.84397208
2020-11-25 07:20:00,19219.57000000,19219.98000000,19209.38000000,19212.18000000,26.66979300,1606306859999,512450.67004854,973,9.11932900,175240.29058142
2020-11-25 07:21:00,19211.70000000,19214.34000000,19200.00000000,19207.56000000,47.04813300,1606306919999,903587.03248300,1124,17.29069200,332063.77756782
2020-11-25 07:22:00,19207.56000000,19230.76000000,19205.50000000,19228.95000000,99.20970800,1606306979999,1906433.65394226,959,49.73973000,955761.90348688
2020-11-25 07:23:00,19228.95000000,19238.29000000,19213.23000000,19215.51000000,39.77828900,1606307039999,764658.46263816,1193,15.48347600,297677.42518344
2020-11-25 07:24:00,19215.51000000,19224.48000000,19194.61000000,19197.32000000,48.13874000,1606307099999,924831.67851950,1199,22.68356700,435809.03358613
2020-11-25 07:25:00,19197.32000000,19202.03000000,19185.56000000,19185.56000000,54.86484100,1606307159999,1053168.02091787,1196,22.86244800,438845.74765597
2020-11-25 07:26:00,19185.01000000,19200.25000000,19176.01000000,19200.25000000,32.14128700,1606307219999,616691.23478290,1228,19.35417800,371387.96097224
2020-11-25 07:27:00,19200.25000000,19225.18000000,19200.25000000,19219.83000000,45.13677600,1606307279999,867375.10193402,1217,27.75276900,533307.54562758
2020-11-25 07:28:00,19219.83000000,19222.67000000,19213.55000000,19222.65000000,42.62189300,1606307339999,819053.85511133,741,21.17595700,406921.87736817
2020-11-25 07:29:00,19222.65000000,19235.91000000,19222.64000000,19229.20000000,29.48239300,1606307399999,566912.75618379,1124,15.93285700,306375.51369708
2020-11-25 07:30:00,19229.20000000,19231.00000000,19197.82000000,19205.74000000,72.39962800,1606307459999,1390978.26578859,1084,53.19845700,1022065.04047084
2020-11-25 07:31:00,19206.74000000,19219.00000000,19199.00000000,19215.39000000,44.91669700,1606307519999,862700.39959144,992,22.49393000,431990.34145693
2020-11-25 07:32:00,19215.40000000,19232.23000000,19215.40000000,19226.29000000,75.98028400,1606307579999,1460902.49747119,1191,33.33198200,640843.69743328
2020-11-25 07:33:00,19226.29000000,19248.46000000,19226.29000000,19247.15000000,52.73006300,1606307639999,1014467.83732929,1174,24.89740600,478957.54984597
2020-11-25 07:34:00,19247.15000000,19256.00000000,19230.64000000,19242.35000000,54.52840200,1606307699999,1049430.38920023,1110,26.68481500,513545.75410206
2020-11-25 07:35:00,19241.69000000,19252.77000000,19233.04000000,19233.05000000,54.49672700,1606307759999,1048826.91015755,1402,33.02145800,635507.10490917
2020-11-25 07:36:00,19233.04000000,19242.40000000,19223.15000000,19232.16000000,42.25558700,1606307819999,812711.80402112,1052,19.69225200,378704.70391393
2020-11-25 07:37:00,19232.17000000,19250.00000000,19224.51000000,19249.02000000,78.53135000,1606307879999,1510666.62359962,953,53.41918300,1027648.82007078
2020-11-25 07:38:00,19249.02000000,19251.34000000,19220.64000000,19224.71000000,57.63926600,1606307939999,1108952.64373991,978,20.35858300,391641.98170337
2020-11-25 07:39:00,19224.71000000,19245.50000000,19224.71000000,19238.00000000,45.46465200,1606307999999,874441.69765228,1015,29.16598400,560973.52025843
2020-11-25 07:40:00,19238.01000000,19238.42000000,19221.24000000,19226.46000000,44.06398400,1606308059999,847376.66512831,785,19.15938200,368424.00699473
