date,Open,High,Low,Close,Volume,Close_Time,Quote_asset_volume,Number_of_trades,Taker_buy_base,Taker_buy_quote
2020-11-25 07:13:00,89.31000000,89.33000000,89.15000000,89.15000000,626.72364000,1606306439999,55926.30343840,113,53.29428000,4755.00334300
2020-11-25 07:14:00,89.10000000,89.10000000,88.75000000,88.75000000,4264.74519000,1606306499999,379201.77944150,392,2276.28020000,202393.47049470
2020-11-25 07:15:00,88.75000000,88.79000000,88.53000000,88.74000000,1595.80212000,1606306559999,141507.60743680,294,720.75999000,63923.09395610
2020-11-25 07:16:00,88.73000000,88.81000000,88.56000000,88.56000000,528.34762000,1606306619999,46872.80479620,113,243.51763000,21611.61397180
2020-11-25 07:17:00,88.61000000,88.86000000,88.57000000,88.83000000,661.61651000,1606306679999,58691.07527310,131,379.08728000,33631.25346330
2020-11-25 07:18:00,88.86000000,88.98000000,88.83000000,88.87000000,426.33107000,1606306739999,37906.30357330,106,237.51620000,21118.17541150
2020-11-25 07:19:00,88.87000000,88.88000000,88.73000000,88.88000000,491.48817000,1606306799999,43642.82198000,76,200.74712000,17826.75712720
2020-11-25 07:20:00,88.88000000,88.88000000,88.76000000,88.76000000,246.93243000,1606306859999,21936.53563820,53,87.62959000,7785.43667130
2020-11-25 07:21:00,88.76000000,88.76000000,88.62000000,88.70000000,796.24798000,1606306919999,70608.38068720,79,231.82744000,20560.97902880
2020-11-25 07:22:00,88.71000000,88.89000000,88.71000000,88.88000000,559.08140000,1606306979999,49648.57609650,79,172.82021000,15344.65584580
2020-11-25 07:23:00,88.86000000,88.86000000,88.68000000,88.70000000,387.69032000,1606307039999,34390.14622310,37,275.39389000,24427.75662690
2020-11-25 07:24:00,88.69000000,88.86000000,88.68000000,88.72000000,419.86017000,1606307099999,37269.27721390,68,225.10860000,19982.69394470
2020-11-25 07:25:00,88.71000000,88.83000000,88.65000000,88.65000000,266.70878000,1606307159999,23673.08302520,66,103.41240000,9180.26057830
2020-11-25 07:26:00,88.64000000,88.65000000,88.56000000,88.60000000,857.61497000,1606307219999,75984.29920010,69,553.53833000,49046.41746130
2020-11-25 07:27:00,88.66000000,88.76000000,88.66000000,88.72000000,198.02083000,1606307279999,17567.38400160,39,183.04018000,16238.24977650
2020-11-25 07:28:00,88.72000000,88.77000000,88.61000000,88.67000000,794.33672000,1606307339999,70423.58183830,101,269.66154000,23908.73660090
2020-11-25 07:29:00,88.67000000,88.75000000,88.63000000,88.68000000,370.46879000,1606307399999,32859.20785460,57,322.71690000,28624.12153030
2020-11-25 07:30:00,88.67000000,88.67000000,88.47000000,88.56000000,580.61294000,1606307459999,51417.76507610,137,175.52653000,15541.58013940
2020-11-25 07:31:00,88.56000000,88.69000000,88.56000000,88.66000000,443.87510000,1606307519999,39336.71493020,86,350.54147000,31066.13999800
